"rowname","onset","year","id_cells","offset","duration"
"2018.256",105.898791498264,2018,256,386.560300725245,280.661509226981
"2019.256",71.638812805279,2019,256,406.259781327622,334.620968522343
"2018.281",8.68619017817453,2018,281,372.349855623583,363.663665445409
"2014.311",195.588553918995,2014,311,335.342420652581,139.753866733586
"2019.315",41.3320502360456,2019,315,372.917245271217,331.585195035171
"2019.320",45.9081942287164,2019,320,393.238852711652,347.330658482935
"2019.351",-16.1011534159932,2019,351,416.642599884586,432.74375330058
"2019.376",157.152385474214,2019,376,340.471512153239,183.319126679026
"2019.454",75.7776454483926,2019,454,349.868391326925,274.090745878532
"2017.483",177.707375305764,2017,483,335.228406187213,157.521030881449
"2019.491",49.9977475405438,2019,491,347.954411374419,297.956663833875
"2019.530",85.2048677145207,2019,530,358.770875984449,273.566008269928
"2019.532",90.7708345412063,2019,532,378.594290437713,287.823455896507
"2016.533",66.8757909978967,2016,533,337.466771071025,270.590980073128
"2017.533",88.2426524473156,2017,533,314.912345601982,226.669693154666
"2018.533",75.9405642586993,2018,533,299.523008659356,223.582444400657
"2019.533",106.346329886377,2019,533,307.830329323107,201.483999436729
"2018.534",88.1214917397241,2018,534,320.087068954197,231.965577214473
"2019.534",97.2378052580915,2019,534,312.479512494906,215.241707236814
"2019.535",177.006024972546,2019,535,307.16483279408,130.158807821535
"2018.575",93.0091333543612,2018,575,291.640715811821,198.63158245746
"2019.575",60.26628067216,2019,575,295.098885128921,234.832604456761
"2017.577",117.401950243733,2017,577,349.859447881055,232.457497637323
"2018.577",92.7555724201564,2018,577,342.765127066197,250.009554646041
"2019.577",112.931121798678,2019,577,303.673345752878,190.7422239542
"2018.578",79.1633268077821,2018,578,355.509326014672,276.34599920689
"2019.578",48.2374676524642,2019,578,370.0865704563,321.849102803836
"2019.615",129.038104092916,2019,615,274.879031126816,145.8409270339
"2019.650",164.681655867973,2019,650,330.336437634133,165.65478176616
"2019.651",72.6893173008655,2019,651,330.314462845883,257.625145545018
"2018.652",100.080680423956,2018,652,369.108560092172,269.027879668216
"2019.652",92.8338207449351,2019,652,303.003181245471,210.169360500536
"2019.662",79.3654870780543,2019,662,335.938365205281,256.572878127227
"2019.694",172.454215116581,2019,694,306.855575158359,134.401360041778
"2019.695",80.249077723401,2019,695,295.937872517983,215.688794794582
"1938.696",38.0836159716874,1938,696,273.6764101893,235.592794217612
"2017.697",97.6788827260268,2017,697,292.702922361994,195.024039635967
"2018.697",86.1190269841678,2018,697,327.822198998831,241.703172014664
"2019.697",124.626477022537,2019,697,334.776387790965,210.149910768428
"2019.702",85.8180629607644,2019,702,289.4941086421,203.676045681335
"2017.703",78.5161369901362,2017,703,340.550470423471,262.034333433335
"2018.703",99.3479373663057,2018,703,339.595536399675,240.247599033369
"2019.703",81.1868653012583,2019,703,334.47496764474,253.288102343482
"2018.704",136.389399241545,2018,704,284.587639934373,148.198240692828
"2019.704",98.4895357063885,2019,704,290.504809973242,192.015274266853
"2017.739",118.509231818727,2017,739,314.588969872404,196.079738053677
"2018.739",139.832184770256,2018,739,319.681170802225,179.848986031969
"2019.739",96.997412219952,2019,739,330.276455642553,233.279043422601
"2019.740",141.441987385982,2019,740,327.017327348726,185.575339962744
"1969.744",106.676077651905,1969,744,308.766654463345,202.09057681144
"2015.744",94.6065256901265,2015,744,327.520421039875,232.913895349749
"2016.744",129.646499084881,2016,744,328.217747087644,198.571248002763
"2017.744",110.175138587222,2017,744,317.922185603842,207.74704701662
"2018.744",115.259534383817,2018,744,323.262515532092,208.002981148274
"2019.744",19.061677555584,2019,744,326.848190916764,307.78651336118
"2017.745",76.7291987685717,2017,745,348.353842989376,271.624644220804
"2018.745",67.4685597576031,2018,745,342.471981056006,275.003421298402
"2019.745",107.836033795831,2019,745,316.520469108653,208.684435312822
"2019.769",56.7721804419672,2019,769,292.605011024461,235.832830582494
"2019.771",96.0422222200099,2019,771,292.056304731186,196.014082511176
"2019.779",95.8238965114405,2019,779,323.877973483337,228.054076971896
"2017.780",95.9197409115303,2017,780,319.014181590483,223.094440678953
"2018.780",70.7439120433526,2018,780,327.79295907538,257.049047032027
"2019.780",69.1510247381618,2019,780,350.791734895084,281.640710156922
"2018.781",53.9636525592504,2018,781,353.432526773282,299.468874214032
"2019.781",74.5009503630512,2019,781,318.508159631379,244.007209268328
"2017.782",73.8503031016044,2017,782,327.934974176631,254.084671075027
"2018.782",81.3134906719729,2018,782,344.845133735582,263.53164306361
"2019.782",69.0376746537375,2019,782,341.232309283882,272.194634630145
"2019.784",102.414953984208,2019,784,323.261238891708,220.8462849075
"2016.785",66.4742458986396,2016,785,315.210917619672,248.736671721033
"2017.785",79.0326780447173,2017,785,315.868809041183,236.836130996465
"2018.785",90.7904144675028,2018,785,323.55852456892,232.768110101417
"2019.785",105.669190985491,2019,785,327.173547868419,221.504356882928
"2013.786",46.1632384291532,2013,786,336.268512630721,290.105274201567
"2018.786",133.900252347695,2018,786,318.326312097547,184.426059749851
"2019.786",99.9376961581436,2019,786,325.012172649095,225.074476490951
"2019.812",73.0927612392976,2019,812,311.32932035782,238.236559118522
"2019.814",74.35089028027,2019,814,305.02927012859,230.67837984832
"2016.815",96.2529271283927,2016,815,319.875187045765,223.622259917372
"2017.815",64.7371980881835,2017,815,334.361111830872,269.623913742688
"2018.815",120.982921739208,2018,815,312.798563564187,191.81564182498
"2019.815",150.265683674467,2019,815,304.739703175802,154.474019501335
"1965.818",228.036436773012,1965,818,296.3872270338,68.3507902607874
"2017.819",106.102671111432,2017,819,334.681515236657,228.578844125225
