"rowname","onset","year","id_cells","offset","duration"
"2019.201",82.005743821218,2019,201,327.607001701835,245.601257880617
"2015.222",208.779511253118,2015,222,334.479074977789,125.699563724672
"2016.222",93.0635478791306,2016,222,277.914175657548,184.850627778418
"2017.222",158.608086896763,2017,222,258.321978756238,99.7138918594752
"2019.222",131.459602496504,2019,222,341.552547893852,210.092945397349
"2018.226",68.8505317007908,2018,226,388.109680387792,319.259148687001
"2018.245",163.153774274539,2018,245,318.013205674676,154.859431400137
"2019.245",101.379318029552,2019,245,357.826808411585,256.447490382032
"2015.247",79.2141520720844,2015,247,368.092819832818,288.878667760733
"2016.247",-44.5377346295184,2016,247,354.453033362439,398.990767991957
"2017.247",62.4103166116352,2017,247,314.980248499893,252.569931888258
"2018.247",108.82174716226,2018,247,343.469806525888,234.648059363627
"2019.247",105.85918655824,2019,247,349.41831171788,243.55912515964
"2016.248",71.9623159932878,2016,248,339.191338373753,267.229022380465
"2019.248",91.6683181874721,2019,248,285.918928987627,194.250610800155
"2019.256",35.6852789259794,2019,256,323.947695140292,288.262416214312
"2013.274",90.3905091858294,2013,274,322.64239575093,232.251886565101
"2014.274",159.989319800502,2014,274,287.896675152368,127.907355351866
"2016.274",19.1825626714035,2016,274,327.257717833922,308.075155162518
"2017.274",72.426628508357,2017,274,358.882664080192,286.456035571835
"2018.274",69.3481886687902,2018,274,335.754959187582,266.406770518792
"2019.274",70.760976233245,2019,274,355.621522181386,284.86054594814
"2017.275",73.6382553118695,2017,275,318.014857803326,244.376602491457
"2019.275",104.21725589961,2019,275,354.528938000517,250.311682100907
"1954.276",121.92918688568,1954,276,345.554881806368,223.625694920688
"2016.276",136.31633810178,2016,276,306.798920588174,170.482582486394
"2018.276",37.8502928588177,2018,276,348.691938748149,310.841645889332
"2019.276",19.0312704392111,2019,276,342.072400396033,323.041129956822
"2019.278",42.7638913104581,2019,278,328.303112048538,285.53922073808
"2018.281",80.5737678225965,2018,281,347.280651212845,266.706883390248
"2019.281",9.6666902097011,2019,281,426.411586617625,416.744896407924
"2019.307",112.411375217746,2019,307,320.35253346255,207.941158244804
"2019.308",114.874725519862,2019,308,369.594540367981,254.719814848119
"2018.310",73.0415558697144,2018,310,310.633927641853,237.592371772139
"2015.341",136.45278356897,2015,341,304.954595024553,168.501811455583
"2016.341",-18.6987121367314,2016,341,316.61229316528,335.311005302011
"2017.341",20.7189828683017,2017,341,323.672197342622,302.95321447432
"2018.341",70.1781193860121,2018,341,318.550361346437,248.372241960425
"2019.341",110.954587682336,2019,341,300.748134404567,189.793546722231
"2016.373",108.499114102084,2016,373,308.508280455769,200.009166353685
"2018.373",99.1137079273225,2018,373,325.650233045908,226.536525118586
"2014.374",146.673940195769,2014,374,306.408057222549,159.73411702678
"2015.374",105.361509182041,2015,374,319.819558835685,214.458049653644
"2016.374",46.8548329251726,2016,374,348.9618428698,302.107009944627
"2017.374",53.317997884288,2017,374,333.773256900912,280.455259016624
"2018.374",-51.56360906697,2018,374,333.150363108864,384.713972175834
"2019.374",90.4720886999665,2019,374,324.268730252081,233.796641552114
"1981.404",124.205052041902,1981,404,224.919431552175,100.714379510274
"2019.404",113.958303488757,2019,404,308.569815454931,194.611511966173
"2018.408",32.04213497221,2018,408,342.209584531896,310.167449559686
"2014.409",71.4696196467168,2014,409,271.77507726147,200.305457614753
"2019.454",116.813105666775,2019,454,325.751925103576,208.938819436801
"2016.473",120.287906496607,2016,473,307.942528662051,187.654622165445
"2018.473",130.530852006695,2018,473,302.416923754858,171.886071748164
"2019.473",91.4100756661354,2019,473,308.426849208064,217.016773541928
"2018.481",110.84093717464,2018,481,262.671110740525,151.830173565884
"2019.481",82.3965497207694,2019,481,275.062896151695,192.666346430926
"2019.577",105.851306180064,2019,577,315.014453511765,209.163147331701
"2019.652",159.098356333379,2019,652,277.621941416846,118.523585083467
"2019.697",96.2537760022719,2019,697,288.141472397458,191.887696395186
"1963.858",123.629464399329,1963,858,269.250164029849,145.62069963052
"1937.859",95.7890526571145,1937,859,302.79293302311,207.003880365996
"1904.910",167.129973817032,1904,910,254.807206128134,87.6772323111026
