"rowname","onset","year","id_cells","offset","duration"
"2018.256",134.123639616342,2018,256,377.554980112194,243.431340495852
"2019.256",71.7494947225823,2019,256,407.038364737675,335.288870015093
"2016.277",280.321316718479,2016,277,294.728308263852,14.4069915453731
"2019.280",91.5288941553208,2019,280,432.234313177945,340.705419022624
"2018.281",14.5787743529714,2018,281,439.845525825791,425.26675147282
"2014.311",202.761908817789,2014,311,335.065048797565,132.303139979776
"2019.315",39.2460441687633,2019,315,372.987844960049,333.741800791285
"2019.320",45.6066229226184,2019,320,388.651972039218,343.045349116599
"2019.351",-11.747439597348,2019,351,419.444053621195,431.191493218543
"2019.376",168.943610709301,2019,376,338.735725759316,169.792115050015
"2019.417",124.991653512815,2019,417,334.176371485863,209.184717973048
"2019.454",76.3356349142243,2019,454,350.286942985854,273.95130807163
"2017.483",176.088209244364,2017,483,335.609773889247,159.521564644883
"2018.491",105.349133871063,2018,491,306.735816312302,201.386682441239
"2019.491",49.3268372989015,2019,491,349.764990702229,300.438153403327
"2019.530",83.8235792352692,2019,530,352.845628491657,269.022049256388
"2019.532",75.8936173402459,2019,532,381.68045064056,305.786833300314
"2016.533",71.7766888356902,2016,533,331.393500973942,259.616812138252
"2017.533",93.4663745874813,2017,533,319.291485589067,225.825111001586
"2018.533",83.8131342943926,2018,533,298.741206626425,214.928072332032
"2019.533",110.091366346498,2019,533,301.771276500844,191.679910154346
"2018.534",95.1130082727695,2018,534,327.171806662053,232.058798389283
"2019.534",102.037187613361,2019,534,315.224686104021,213.18749849066
"2019.535",178.900759079841,2019,535,302.543439226712,123.642680146871
"2018.575",104.911722362711,2018,575,276.972696299916,172.060973937205
"2019.575",74.8440771137799,2019,575,285.243796419714,210.399719305934
"2017.577",107.896696577402,2017,577,353.817429956981,245.920733379579
"2018.577",97.5814803922072,2018,577,340.703856318251,243.122375926044
"2019.577",112.716391292161,2019,577,305.302513172024,192.586121879863
"2018.578",91.1965528652414,2018,578,347.486747169598,256.290194304357
"2019.578",41.8562366985602,2019,578,363.323164275564,321.466927577004
"2019.615",132.439190100973,2019,615,272.109397413423,139.67020731245
"2018.650",106.932254709263,2018,650,367.669383504377,260.737128795114
"2019.650",164.74612665359,2019,650,327.080099772744,162.333973119154
"2017.651",122.909584176551,2017,651,309.615811188335,186.706227011784
"2019.651",93.7860165232725,2019,651,344.500658525042,250.71464200177
"2017.652",82.268185065251,2017,652,335.338882338051,253.0706972728
"2018.652",92.8636588182084,2018,652,354.104760968959,261.241102150751
"2019.652",100.23014767197,2019,652,293.704043412154,193.473895740184
"2019.662",78.5403037187389,2019,662,336.458715546227,257.918411827488
"2019.663",42.2500310334308,2019,663,385.879480954206,343.629449920775
"2019.694",171.469896382407,2019,694,299.294455943524,127.824559561117
"2019.695",111.340017313721,2019,695,301.468524413342,190.12850709962
"1938.696",38.0400123841325,1938,696,271.568952148884,233.528939764751
"2017.697",101.061632630457,2017,697,295.432325864447,194.37069323399
"2018.697",87.4748845031468,2018,697,327.413925395802,239.939040892655
"2019.697",125.623764662289,2019,697,325.269757784302,199.645993122014
"2017.702",158.678638227745,2017,702,304.455638426007,145.777000198262
"2019.702",82.3966230503592,2019,702,283.118371977289,200.72174892693
"2017.703",83.271738039817,2017,703,339.399895051316,256.128157011499
"2018.703",105.758298787753,2018,703,340.325898011197,234.567599223445
"2019.703",75.6104833976737,2019,703,323.060958358084,247.450474960411
"2018.704",144.309040239296,2018,704,285.541173048542,141.232132809246
"2019.704",103.397058697527,2019,704,282.703560465264,179.306501767737
"2019.735",185.077404416098,2019,735,286.788164517048,101.71076010095
"2019.738",89.4557561102013,2019,738,289.867650320678,200.411894210477
"2017.739",115.566624109773,2017,739,315.519999797977,199.953375688204
"2018.739",149.838557885403,2018,739,312.843625595665,163.005067710261
"2019.739",82.6391395535068,2019,739,329.176696754825,246.537557201319
"2019.740",140.929387454166,2019,740,322.833394508548,181.904007054382
"1969.744",109.203495637254,1969,744,307.197397511014,197.99390187376
"2014.744",174.549033008507,2014,744,292.548501013102,117.999468004595
"2015.744",98.8419708400758,2015,744,330.278888916187,231.436918076111
"2016.744",128.12217354516,2016,744,328.952932675463,200.830759130303
"2017.744",98.2525200642129,2017,744,309.116953436563,210.86443337235
"2018.744",99.4958696747665,2018,744,315.551501746296,216.05563207153
"2019.744",6.42275233539684,2019,744,313.185899858067,306.76314752267
"2017.745",77.9647714206256,2017,745,351.21387505816,273.249103637535
"2018.745",77.044874233374,2018,745,339.070329635775,262.025455402401
"2019.745",107.70506302561,2019,745,312.911669586863,205.206606561252
"2019.769",37.3363752964374,2019,769,281.968875400869,244.632500104431
"2018.771",45.3253537938898,2018,771,324.577246993732,279.251893199842
"2019.771",91.4252813182007,2019,771,290.910070120236,199.484788802035
"2018.775",103.761932067637,2018,775,288.204155660772,184.442223593134
"2019.779",100.928638897414,2019,779,312.387375704522,211.458736807108
"2017.780",109.802156700639,2017,780,296.839841480894,187.037684780255
"2018.780",76.6596958771656,2018,780,338.756456315873,262.096760438707
"2019.780",84.1254597027133,2019,780,346.067343792981,261.941884090267
"2017.781",188.944736421555,2017,781,280.967118272566,92.0223818510107
"2018.781",55.9726834516017,2018,781,362.520586105555,306.547902653953
"2019.781",74.2369894460949,2019,781,317.285245336724,243.048255890629
"2017.782",57.8085866289913,2017,782,320.827079931151,263.018493302159
"2018.782",83.2009126405854,2018,782,343.383902901211,260.182990260625
"2019.782",74.0737853201795,2019,782,350.958571182455,276.884785862275
"2019.784",111.242937966245,2019,784,315.147972913646,203.905034947401
"2016.785",65.2836047469089,2016,785,314.901406879097,249.617802132189
"2017.785",67.3130777853165,2017,785,312.523791757887,245.21071397257
"2018.785",101.266644732181,2018,785,314.806266733773,213.539622001592
"2019.785",108.652766917131,2019,785,322.575275810251,213.92250889312
"2013.786",47.5312702986784,2013,786,337.278378033757,289.747107735079
"2018.786",133.134048176554,2018,786,319.9793378369,186.845289660345
"2019.786",89.808239387908,2019,786,325.021941435148,235.21370204724
"2017.811",210.516716953925,2017,811,263.187235702155,52.6705187482294
"2019.812",44.7208490228944,2019,812,294.646840123785,249.925991100891
"2019.814",63.337434196525,2019,814,298.741557316673,235.404123120148
"2011.815",191.035779635802,2011,815,241.609545753031,50.5737661172297
"2016.815",97.0689839169031,2016,815,318.783168259704,221.714184342801
"2017.815",54.7258732676742,2017,815,328.95083494625,274.224961678575
"2018.815",113.985827467048,2018,815,309.111162011912,195.125334544864
"2019.815",145.61232418531,2019,815,305.377669327864,159.765345142554
"1965.818",228.87719386398,1965,818,296.408403831881,67.5312099679012
"2017.819",115.550509301494,2017,819,326.733847964738,211.183338663244
"2018.819",80.187130019228,2018,819,332.201926943086,252.014796923858
"2019.819",50.988650293696,2019,819,344.356164206455,293.367513912759
"2011.820",187.448980349571,2011,820,297.972793899032,110.523813549461
"2013.820",105.730603181925,2013,820,313.32160074509,207.590997563165
"2015.820",119.598414860589,2015,820,331.482013994227,211.883599133638
"2016.820",92.7475992280176,2016,820,329.68284225564,236.935243027623
"2017.820",90.3987776460039,2017,820,302.472345136855,212.073567490851
"2018.820",72.5364051230581,2018,820,329.483611278558,256.9472061555
"2019.820",97.5407237189865,2019,820,310.027772228917,212.48704850993
"2018.821",86.0217654944247,2018,821,332.292687844766,246.270922350342
"2019.821",87.98345323571,2019,821,348.312375158467,260.328921922757
"1941.823",252.90119576653,1941,823,299.876260201573,46.9750644350423
"2012.823",163.545984005821,2012,823,340.581378741196,177.035394735376
"2016.823",104.284340788365,2016,823,242.634352319222,138.350011530856
"2017.823",114.069681773823,2017,823,292.481282918062,178.41160114424
"2019.823",158.237647348585,2019,823,289.050929012487,130.813281663902
"2017.825",84.0484086943215,2017,825,264.442278244522,180.393869550201
"2018.825",178.281250327394,2018,825,295.814504888183,117.533254560789
"2019.825",113.122193332291,2019,825,304.258621234281,191.13642790199
"1993.826",144.02366474847,1993,826,265.556493835246,121.532829086776
"1994.826",80.5265859600168,1994,826,317.632425028269,237.105839068252
"2009.826",168.475082065553,2009,826,261.317252432395,92.8421703668415
"2010.826",67.5963993718027,2010,826,342.788927460751,275.192528088948
"2011.826",117.934995047323,2011,826,290.295621747185,172.360626699861
"2012.826",105.347200103374,2012,826,305.653097029254,200.305896925879
"2014.826",73.8175273105034,2014,826,302.554840018825,228.737312708321
"2015.826",84.0230826869339,2015,826,332.540968379263,248.517885692329
"2016.826",109.60411757298,2016,826,337.683034005093,228.078916432113
"2017.826",93.8801039674984,2017,826,316.140861372965,222.260757405466
"2018.826",108.256043506089,2018,826,306.923669276685,198.667625770596
"2019.826",68.4886809143679,2019,826,326.066858213892,257.578177299524
"2016.855",139.128952881961,2016,855,306.795192112482,167.666239230522
"2017.855",109.973107954157,2017,855,312.81862587394,202.845517919783
"2018.855",107.842957235866,2018,855,307.771871087808,199.928913851942
"2019.855",106.278519522299,2019,855,293.707377294579,187.42885777228
"2019.856",100.814051541364,2019,856,295.992995280023,195.178943738658
"1963.858",131.834156168294,1963,858,318.758088267988,186.923932099694
"1964.858",105.673121604877,1964,858,300.603024287653,194.929902682776
"2014.858",87.0682476787565,2014,858,300.183588825804,213.115341147047
"2016.859",102.450578442016,2016,859,321.085363672247,218.634785230231
"2017.859",70.3811852102956,2017,859,306.583237171208,236.202051960912
"2018.859",79.934155657174,2018,859,298.161245531,218.227089873826
"2019.859",102.826925400118,2019,859,291.401962420686,188.575037020568
"2018.860",102.600285299007,2018,860,292.403705817328,189.803420518321
"2019.860",93.1283497086434,2019,860,283.417971314038,190.289621605394
"2019.862",127.429659450401,2019,862,316.953789607883,189.524130157482
"2019.863",56.8852682719302,2019,863,276.703570498812,219.818302226882
"2019.865",63.3718463071247,2019,865,335.986355199889,272.614508892764
"2019.866",116.329752246779,2019,866,337.027073557928,220.697321311149
"1910.867",187.437281788372,1910,867,276.66526636821,89.2279845798382
"1962.867",113.712822285578,1962,867,229.386116775749,115.67329449017
"2003.867",104.287765981435,2003,867,308.410827222204,204.123061240769
"2007.867",124.458102318707,2007,867,293.736152433887,169.278050115179
"2016.867",115.44284178925,2016,867,339.738371288229,224.295529498979
"2017.867",90.4325703089872,2017,867,322.826402278526,232.393831969539
"2018.867",125.323234423138,2018,867,293.849204111401,168.525969688262
"2019.867",125.47205133675,2019,867,310.636168216304,185.164116879553
"1962.868",111.662213943447,1962,868,326.234698133986,214.572484190539
"1970.868",28.6607947536191,1970,868,352.198318855629,323.53752410201
"1973.868",69.6678499984272,1973,868,335.048589326166,265.380739327739
"1982.868",56.0196517531105,1982,868,313.516631637669,257.496979884559
"2005.868",131.969140439751,2005,868,267.965345572019,135.996205132268
"2006.868",115.732888608097,2006,868,304.08635134819,188.353462740092
"2007.868",108.93078140313,2007,868,248.94430616925,140.013524766119
"2009.868",137.923868886468,2009,868,284.116500340252,146.192631453783
"2010.868",106.698752206664,2010,868,274.811499925155,168.112747718491
"2011.868",120.618325152391,2011,868,288.032884565204,167.414559412813
"2012.868",111.364143667898,2012,868,300.020618669912,188.656475002015
"2013.868",123.545560989067,2013,868,282.498190668755,158.952629679688
"2017.868",154.401230457368,2017,868,312.978201470627,158.576971013259
"2018.868",113.385333404002,2018,868,312.195148389421,198.80981498542
"2019.868",126.261259901039,2019,868,306.921144181132,180.659884280093
"2005.869",141.495021197521,2005,869,295.729944176074,154.234922978553
"2006.869",90.7339974583099,2006,869,315.385759999966,224.651762541656
"2007.869",126.115445345645,2007,869,324.125609591712,198.010164246067
"2008.869",142.834915264767,2008,869,316.169606769429,173.334691504662
"2010.869",125.915669345501,2010,869,312.758702096451,186.84303275095
"2019.893",204.69622899705,2019,893,283.179759872175,78.4835308751254
"2017.894",212.594575630604,2017,894,296.175037402587,83.5804617719837
"2019.895",174.322051388752,2019,895,302.301099871,127.979048482247
"2017.906",185.695657663516,2017,906,285.906798857939,100.211141194423
"2018.906",102.07414417772,2018,906,317.838430694107,215.764286516387
"2019.906",71.1760856162051,2019,906,290.605099575589,219.429013959384
"2012.907",89.8580206901601,2012,907,274.681534329359,184.823513639199
"2017.907",151.541678626181,2017,907,290.107174806081,138.5654961799
"2018.907",99.2599821699342,2018,907,335.058185028034,235.7982028581
"2019.907",71.8669670643667,2019,907,309.357826542438,237.490859478071
"2007.909",122.967822235425,2007,909,262.104787336379,139.136965100953
"2018.909",108.313213183026,2018,909,327.878365745165,219.565152562139
"2019.909",82.933501433301,2019,909,306.902802893072,223.969301459771
"1899.910",105.387205939544,1899,910,322.109478369562,216.722272430019
"1904.910",112.890106066521,1904,910,258.75122401106,145.861117944539
"1964.910",33.9047514060526,1964,910,400.492233927784,366.587482521731
"1984.910",172.882839336221,1984,910,281.224545182846,108.341705846626
"2006.910",75.6308521061862,2006,910,311.581780355172,235.950928248986
"2007.910",115.722685378772,2007,910,291.513678542019,175.790993163247
"2009.910",96.4497942095456,2009,910,256.138412388062,159.688618178517
"2010.910",97.6797833746323,2010,910,297.123927227446,199.444143852813
"2012.910",73.4941262113458,2012,910,318.598229894289,245.104103682943
"2013.910",81.489153137485,2013,910,293.985573944502,212.496420807017
"2017.910",81.6301230611101,2017,910,329.605951563666,247.975828502556
"2018.910",116.122405367009,2018,910,306.186784741629,190.06437937462
"2019.910",130.243195781183,2019,910,309.258709998086,179.015514216902
"2009.911",78.9011293571316,2009,911,322.619463529492,243.718334172361
"2010.911",88.8245208147847,2010,911,271.038580709769,182.214059894984
"2017.911",125.63835733608,2017,911,306.221988957361,180.583631621281
"2018.911",103.447003526591,2018,911,319.39536039127,215.948356864679
"2019.911",98.6744006166948,2019,911,319.246087618483,220.571687001788
"2010.912",62.336820231209,2010,912,285.576222035852,223.239401804643
"2011.912",109.852038076539,2011,912,300.261123714727,190.409085638188
"2018.912",115.820111816475,2018,912,306.666075119159,190.845963302684
"2019.912",135.947576009913,2019,912,304.166541474399,168.218965464486
"2016.937",93.4140721099432,2016,937,311.946566777897,218.532494667954
"2017.937",120.986035411723,2017,937,300.261007826209,179.274972414486
"2018.937",124.296010453722,2018,937,292.173528870683,167.877518416961
"2019.937",126.079954437593,2019,937,299.420845221339,173.340890783746
"2019.941",145.4671797784,2019,941,302.917603166978,157.450423388578
"2018.950",67.5785660404236,2018,950,362.107733231178,294.529167190754
"2019.950",60.0044415381624,2019,950,311.378570567518,251.374129029356
"2019.951",159.833208427125,2019,951,274.248993862149,114.415785435023
"1930.952",110.415300556736,1930,952,165.753910751569,55.3386101948329
"2018.952",121.916432016206,2018,952,315.080098302966,193.16366628676
"2019.952",51.548598193653,2019,952,309.908365711094,258.359767517441
"2017.953",149.923700349711,2017,953,293.613708436184,143.690008086473
"2018.953",92.2955678410129,2018,953,306.131897597345,213.836329756332
"2019.953",122.917598696623,2019,953,310.92156817048,188.003969473858
"2014.954",83.9849251489632,2014,954,345.593608115683,261.60868296672
"2015.954",100.052782306217,2015,954,316.709344905999,216.656562599783
"2016.954",84.0015192823399,2016,954,306.238907354594,222.237388072255
"2017.954",89.5927379649793,2017,954,319.608117659838,230.015379694859
"2018.954",99.5075162034309,2018,954,315.556429660797,216.048913457366
"2019.954",96.7234684691565,2019,954,313.914649565978,217.191181096822
"2017.979",160.230942254308,2017,979,275.542750520244,115.311808265936
"2018.979",101.949744899487,2018,979,297.121039512172,195.171294612685
"2019.979",101.439620473574,2019,979,289.2560278462,187.816407372625
"2018.980",109.156822771856,2018,980,293.861720143074,184.704897371219
"2019.980",126.909280844201,2019,980,304.32292234652,177.41364150232
"2013.995",87.1630826247566,2013,995,299.403280291984,212.240197667228
"2014.995",122.352923606316,2014,995,322.672424804003,200.319501197687
"2015.995",115.028394783939,2015,995,320.849061037183,205.820666253244
"2017.995",94.4609209337783,2017,995,340.578016004315,246.117095070536
"2018.995",87.9993689018233,2018,995,320.649212184893,232.64984328307
"2019.995",129.044400442222,2019,995,296.840475766174,167.796075323952
"2013.996",78.2451536268461,2013,996,362.965495475904,284.720341849058
"2016.996",50.320557736216,2016,996,341.913443281509,291.592885545293
"2017.996",94.6861970610885,2017,996,318.573801202495,223.887604141407
"2018.996",117.823996373644,2018,996,317.60705853594,199.783062162296
"2019.996",91.8792391256697,2019,996,311.70756524374,219.828326118071
"1897.997",132.940481993096,1897,997,314.172038473578,181.231556480482
"1904.997",94.9666195911604,1904,997,249.627183732129,154.660564140968
"2018.997",121.727922701708,2018,997,300.90138609506,179.173463393351
"2019.997",139.366154569401,2019,997,301.84360916043,162.47745459103
"2014.1036",99.2865205116722,2014,1036,302.133992002841,202.847471491169
"2015.1036",78.5238369684389,2015,1036,343.159668733447,264.635831765009
"2016.1036",54.668823685875,2016,1036,342.533187454497,287.864363768622
"2017.1036",107.168404199144,2017,1036,315.703202872527,208.534798673383
"2018.1036",122.702710644369,2018,1036,315.40059853982,192.697887895451
"2019.1036",114.612520169133,2019,1036,316.252173595448,201.639653426314
"2018.1038",109.985757126134,2018,1038,331.281807157216,221.296050031081
"2019.1038",105.954542598012,2019,1038,312.606883210492,206.652340612481
"2019.1039",151.325769894132,2019,1039,301.08096330169,149.755193407558
"2019.1084",114.111897172849,2019,1084,313.235892430134,199.123995257285
