"onset","onset_low","onset_high","rowname","year","id_cells","offset","offset_low","offset_high","duration","scientificName","Order"
97.5,30,180,2018.361,2018,361,260.85,252.5,264,163.35,"Anax junius","Odonata"
97.8,89,111,2015.374,2015,374,307.2,270,357,209.4,"Anax junius","Odonata"
91.4,84,96.6,2016.374,2016,374,286.4,271,328,195,"Anax junius","Odonata"
67.8,59,78.4,2017.374,2017,374,288.4,283.2,308,220.6,"Anax junius","Odonata"
83.4,64,91.2,2018.374,2018,374,301.6,293.6,326,218.2,"Anax junius","Odonata"
88.7,83,93.55,2019.374,2019,374,300.75,293.3,313.15,212.05,"Anax junius","Odonata"
196.1,188,209.15,2016.425,2016,425,311.3,266.65,341,115.2,"Anax junius","Odonata"
209.15,193,229.95,2018.425,2018,425,311.3,297.7,317,102.15,"Anax junius","Odonata"
136.7,112,159.8,2019.425,2019,425,307.25,290.8,316,170.55,"Anax junius","Odonata"
95,93,148,2016.463,2016,463,305,270,330,210,"Anax junius","Odonata"
204,170,238,2018.463,2018,463,286,275,287,82,"Anax junius","Odonata"
149.3,64,186,2019.463,2019,463,292.8,271.7,307,143.5,"Anax junius","Odonata"
228.35,227,237.35,2016.502,2016,502,286.7,273.75,293,58.35,"Anax junius","Odonata"
177.7,157,203,2019.502,2019,502,288.65,276.1,290,110.95,"Anax junius","Odonata"
209.6,181,233,2016.503,2016,503,325.2,289,356,115.6,"Anax junius","Odonata"
82.45,68,88.4,2018.503,2018,503,299.95,283,345,217.5,"Anax junius","Odonata"
114.25,76,127,2019.503,2019,503,275,258.5,284,160.75,"Anax junius","Odonata"
100.65,93,111.35,2019.522,2019,522,262.4,254.2,266,161.75,"Anax junius","Odonata"
110.5,106,116,2019.652,2019,652,261.45,225.35,270,150.95,"Anax junius","Odonata"
171,153,181.5,2017.666,2017,666,281.25,271.25,291,110.25,"Anax junius","Odonata"
167.8,166,171.6,2019.666,2019,666,297.3,267.3,300,129.5,"Anax junius","Odonata"
177.85,174,188.7,2019.667,2019,667,293.1,262.2,314,115.25,"Anax junius","Odonata"
162,144,184,2018.697,2018,697,278.55,263.8,279,116.55,"Anax junius","Odonata"
103,99,111,2019.697,2019,697,258,237,267,155,"Anax junius","Odonata"
115.4,95,129,2018.698,2018,698,268.2,246,276,152.8,"Anax junius","Odonata"
116.6,113,132.8,2019.698,2019,698,261,240,264,144.4,"Anax junius","Odonata"
203.5,200,212.5,2017.707,2017,707,311,278,321,107.5,"Anax junius","Odonata"
159,153,168.5,2019.707,2019,707,292.5,282.25,294,133.5,"Anax junius","Odonata"
143.3,119,173,2015.708,2015,708,271.85,262.95,275,128.55,"Anax junius","Odonata"
123.5,83,164,2016.708,2016,708,279.5,246,280,156,"Anax junius","Odonata"
160.6,139,175,2017.708,2017,708,272.8,257.6,283,112.2,"Anax junius","Odonata"
190.95,136,229,2019.708,2019,708,298.9,265.95,316,107.95,"Anax junius","Odonata"
95.5,89,103.5,2017.738,2017,738,249,226.5,252,153.5,"Anax junius","Odonata"
108.4,103,112,2018.738,2018,738,275.6,217,278,167.2,"Anax junius","Odonata"
102.1,97,104.65,2019.738,2019,738,254.45,241.2,257,152.35,"Anax junius","Odonata"
95,84,140,2017.739,2017,739,242,229,260,147,"Anax junius","Odonata"
116,103,125.6,2018.739,2018,739,271.2,246.6,275,155.2,"Anax junius","Odonata"
107.55,102,126.95,2019.739,2019,739,260.45,241.75,296,152.9,"Anax junius","Odonata"
155.25,117,202,2018.74,2018,740,277.4,268.2,281,122.15,"Anax junius","Odonata"
150.35,97,194,2019.74,2019,740,244.7,232.6,248,94.35,"Anax junius","Odonata"
131.7,117,139.4,2019.744,2019,744,288.2,270,305,156.5,"Anax junius","Odonata"
222,186,231.9,2017.746,2017,746,306.1,289.8,307,84.1,"Anax junius","Odonata"
107.2,104,133.6,2018.746,2018,746,309.8,281,329,202.6,"Anax junius","Odonata"
155.4,122,186.45,2019.746,2019,746,291.55,281.95,315,136.15,"Anax junius","Odonata"
128.8,117,194,2019.748,2019,748,271.8,260.6,275,143,"Anax junius","Odonata"
101.35,100,105.85,2019.769,2019,769,285.85,237.65,298,184.5,"Anax junius","Odonata"
175.85,170,186.2,2018.778,2018,778,244.4,230.05,248,68.55,"Anax junius","Odonata"
114.8,98,122,2019.778,2019,778,243.5,229,261,128.7,"Anax junius","Odonata"
148.6,107,170.2,2019.779,2019,779,243.4,228.8,253,94.8,"Anax junius","Odonata"
103.9,103,106.35,2015.78,2015,780,221.2,200,223,117.3,"Anax junius","Odonata"
103.6,103,111.2,2018.78,2018,780,234.4,222.4,235,130.8,"Anax junius","Odonata"
102.1,97,114.7,2019.78,2019,780,256.15,238.8,265,154.05,"Anax junius","Odonata"
137.5,116,159,2016.815,2016,815,240.5,206,245,103,"Anax junius","Odonata"
103.9,83,151.55,2017.815,2017,815,248.1,217.7,250,144.2,"Anax junius","Odonata"
134.75,121,161.7,2018.815,2018,815,262.3,245.45,281,127.55,"Anax junius","Odonata"
121.3,110,126.55,2019.815,2019,815,271.25,255.9,287,149.95,"Anax junius","Odonata"
149.95,135,158,2019.818,2019,818,256.2,238,264,106.25,"Anax junius","Odonata"
105.3,102,110.75,2018.819,2018,819,266.6,227,282,161.3,"Anax junius","Odonata"
104.4,102,136.85,2019.819,2019,819,268.95,262.8,270,164.55,"Anax junius","Odonata"
88.5,84,103,2017.82,2017,820,239.5,213,258,151,"Anax junius","Odonata"
122.4,112,128.2,2018.82,2018,820,249.6,242.4,266,127.2,"Anax junius","Odonata"
113.3,103,130,2019.82,2019,820,255,238.4,278,141.7,"Anax junius","Odonata"
134.3,121,146.4,2019.821,2019,821,237.2,228.45,241,102.9,"Anax junius","Odonata"
129.25,124,145.5,2019.826,2019,826,295.2,272.55,307,165.95,"Anax junius","Odonata"
149.7,131,165,2019.856,2019,856,269.45,254.25,270,119.75,"Anax junius","Odonata"
102.2,91,111.3,2015.937,2015,937,249.4,234.2,269,147.2,"Anax junius","Odonata"
104.4,98,110,2017.937,2017,937,262.6,253,273,158.2,"Anax junius","Odonata"
122.4,120,127.8,2018.937,2018,937,271,251,291,148.6,"Anax junius","Odonata"
104.6,98,114.8,2019.937,2019,937,281.2,261.6,288,176.6,"Anax junius","Odonata"
142.2,131,147.1,2019.954,2019,954,251.95,244.95,257,109.75,"Anax junius","Odonata"
